source_key,name,source_type,address,neighborhood,section_code,query,normalized_address,latitude,longitude,accepted,confidence,score,reason,geocoding_source
"pdf-2026-06-30-074","Sin nombre","Vera Autopista","Av.Circunvalaci6n N*277-276-278-274-279-280 PROYECTARFUTURO","","4A","Avenida Circunvalaci 6 n N*277 276 278 274 279 280 PROYECTARFUTURO, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-075","San Cayetano","Acceso","SECTORES36-42-65-72-73-88-89-90-91-92-369-388/Noincluyerotondas292y516","","5","San Cayetano, San Miguel de Tucuman, Tucuman, Argentina","San Cayetano, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","2.75","coincidencia_aproximada",""
"pdf-2026-06-30-076","Sin nombre","Vera Autopista","SECTORES368-370-498-381-382-383-384-385-386-387-379-380-378-375 COOPERATIVA13DEENERO","","5A","SECTORES 368 370 498 381 382 383 384 385 386 387 379 380 378 375, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-077","Cesar Cipolletti","Plazoleta","Mejico4300","","6","Mejico 4300, San Miguel de Tucuman, Tucuman, Argentina","México, Los Andes, Vial 1, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-078","S/N","Plaza","Mario Bravoy71NE P.U.271","130Viviendas","6","Plaza S N, San Miguel de Tucuman, Tucuman, Argentina","Plaza Perú, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-079","S/N","Plaza","71NEentre Coronel Suarezy Lola Mora P.U.272","130Viviendas","6","Plaza S N, San Miguel de Tucuman, Tucuman, Argentina","Plaza Perú, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-080","S/N","Plaza","Mario Bravoentre73NEy28/23NE P.U.273","130Viviendas","6","Plaza S N, San Miguel de Tucuman, Tucuman, Argentina","Plaza Perú, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-081","Maria Auxiliadora","Plazoleta","Don Orioney Diagonal90(3triangulos).VERMAPA","","6","Maria Auxiliadora, San Miguel de Tucuman, Tucuman, Argentina","Pasaje Maria Auxiliadora, Ciudadela, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8272819","-65.2192438","true","media","4.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-082","Barrancasdel Sali B","Plaza","C.38NORESTEYC.NOROESTE","B*Barrancasdel Sali","6","C.38 NORESTEYC.NOROESTE, B*Barrancasdel Sali, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-083","Veradecanal","Platabanda","CANALSUR-TRAMO5DECOLONADIAGONAL-TRAMO6DEDIAGONALACOLON","","6","CANALSUR, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-084","BSan Martin","Boulevard","Av.Povina（Ruta provincial301-Caminode Sirga)","","6","Avenida Povina（Ruta provincial 301 Caminode Sirga, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-085","Almirante Brown","Plaza","Pje Vieytesy Miguel Lilo1400","Victoria","6","Pasaje Vieytes y Miguel Lilo 1400, Victoria, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-086","Int.Alfredo Guzman","Plazoleta","Juramento del a Bandera1200,esquina Mario Bravo（son2endiagonal）","Parque Centenario","6","Juramento de la Bandera 1200,esquina Mario Bravo（son 2 endiagonal）, Parque Centenario, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-087","Int.Carlos Maria Torres","Plazoleta","Juramento del a Bandera1200,esquina Mario Bravo（son2endiagonal）","Parque Centenario","6","Juramento de la Bandera 1200,esquina Mario Bravo（son 2 endiagonal）, Parque Centenario, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-088","Brasil","Boulevard","Pje.Brasil entre Av.J.B.Justoy Maipu","","6","Brasil, San Miguel de Tucuman, Tucuman, Argentina","Brasil, Villa 9 de Julio, Villa 9 de julio, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8083718","-65.1991474","true","media","3.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-089","Caminode Sirga","Platabanda","SECCIONES435-436-483-484","","6","SECCIONES 435 436 483 484, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-090","Panamay Jose Hernandez","Terraplen","SECCIONES308-309-310","","6","SECCIONES 308 309 310, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-091","C.de Fragata Pedro E.Giachino","Plaza","Av.Juan B.Justo2350,esquina Pje.Roberto Berho","","6","Avenida Juan B.Justo 2350,esquina Pasaje Roberto Berho, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-092","Gral.Lorenzo Vinter","Plaza","Espana2900,entre J.L.Nouguesy Pje.Acha","Ampliacion Jardin","6","Espana 2900,entre J.L.Nougues y Pasaje Acha, Ampliacion Jardin, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-093","Mons.Miguel de Andrea","Plazoleta","Hernando de Magallanes2500","SEOCI","6","Hernando de Magallanes 2500, SEOCI, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-094","Paseo Egeo","Plazoleta","Inca Garcilasoy Buenos Aires","Egeo","6","Inca Garcilaso y Buenos Aires","INCA GARCILAZO (ESQUINA BUENOS AIRES), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.856541196","-65.212456103","true","media","11.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-095","San Miguel Arcangel","Rotonda","Av.Gobernadordel Campoy Circunvalacion","B°Barrancasdel Sali","6","Avenida Gobernadordel Campo y Circunvalacion, B°Barrancasdel Sali, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-096","Gral.Manuel Belgrano","Plazoleta","Av.Pedro Miguel Araozal500","B*20de junio","6","Avenida Pedro Miguel Araozal 500, B*20de junio, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-097","Dr.F.lrrazabal","Plazoleta","Mendoza4450","Alperovich","6","Mendoza 4450, San Miguel de Tucuman, Tucuman, Argentina","Mendoza, Floresta, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","2.75","calle_o_tramo_aproximado",""
"pdf-2026-06-30-098","S/N","Plaza","Lidoro Quinteros2500esquina Lopez Maian. PU482","314Viviendas","6","Plaza S N, San Miguel de Tucuman, Tucuman, Argentina","Plaza Perú, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-099","Caseros","Plazoleta","Colombia00,esquina Catamarca","Villa Urquiza","6","Colombia 00,esquina Catamarca, Villa Urquiza, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-100","Santisima Trinidad","Plazoleta","Alsina300,entre Congresoy Las Heras COOPERATIVATRABAJOSOFICIO","Villa Alem","6","Alsina 300,entre Congreso y Las Heras, Villa Alem, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-101","Wilde","Plazoleta","Suipacha2300,esquinalsabella Catolica","Villa Urquiza","8","Suipacha 2300,esquinalsabella Catolica, Villa Urquiza, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-102","Dr.Angel Pisarello","Parquizacion","Mejicoy Munecas","Los Pinosll","8","Mejico y Munecas","MEJICO (ESQUINA ILDEFONSO DE LAS MUNECAS), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.803409278","-65.199751285","true","media","10.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-103","Monumentoal Alfabeto","Parque","Diagonal Lisandro del a Torrey Ramirezde Velazco","Los Pinos","8","Diagonal Lisandro de la Torre y Ramirezde Velazco","DIAG LISANDRO DE LA TORRE (ESQUINA JUAN RAMIREZ DE VELASCO), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.799437563","-65.203603725","true","media","10.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-104","Tte.B.Matienzo","Plazoleta","Diaz Velez800y Luis MDrago50","Padre Monti","8","Diaz Velez 800 y Luis MDrago 50, Padre Monti, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-105","Sin nombre","Plaza","Peri3800","Ampliacion Las Americas","8","Peri 3800, Ampliacion Las Americas, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-106","Sin nombre","Boulevard","Mexico YDIAG90LADONORESTE","Congreso","8","Mexico YDIAG 90 LADONORESTE, Congreso, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-107","Aramburu","Plazoleta","Mendoza3300","San Martinde Porres","8","Mendoza 3300, San Miguel de Tucuman, Tucuman, Argentina","Mendoza, Floresta, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","2.75","calle_o_tramo_aproximado",""
"pdf-2026-06-30-108","Dela Libertad","Plaza","Carlos Maria Torresentre Chacabucoy Bs Aires4400","Independencia","8","Carlos Maria Torres entre Chacabuco y Bs Aires 4400, Independencia, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-109","Eva Peron","Plazoleta","Av.Juan B.Justo1000","","8","Avenida Juan B.Justo 1000, San Miguel de Tucuman, Tucuman, Argentina","1000, Avenida Juan B. Justo, Villa 9 de julio, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8188193","-65.1939505","true","alta","8.25","direccion_con_altura","OpenStreetMap Nominatim"
"pdf-2026-06-30-110","Miguelde Azcuenaga","Plazoleta","Alsina4600 COOPERATIVASANTAQUIARA","San Martin","8","Alsina 4600, San Martin, San Miguel de Tucuman, Tucuman, Argentina","Adolfo Alsina, San Martín, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8350822","-65.267867","true","media","3.75","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-111","ing.Agr.Jose Ploper","Plaza","Jose M.Estrada4300","Congreso","9","Jose M.Estrada 4300, Congreso, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-112","Diegode Villarroel","Plaza","Diegode Villarroely Jose Hernandez","Obispo Piedrabuena","9","Diegode Villarroel y Jose Hernandez, Obispo Piedrabuena, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-113","Sin nombre","Plaza","Estados Unidos1500y Calle Costanera Norte","BCostanera(2 de abril)","9","Estados Unidos 1500 y Calle Costanera Norte, BCostanera 2 de abril, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-114","Eva Peron","Plaza","Espana2700y Azcuenaga","Jardin","9","Espana 2700 y Azcuenaga, Jardin, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-115","Dr.Pedro Ruiz Huidobro","Plazoleta","Viamonte950-Espanay Av.Estado del srael","Ampliacion Jardin","9","Viamonte 950 Espana y Avenida Estado del srael, Ampliacion Jardin, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-116","Nicolas Levalle(Petete)","Plazoleta","Av.Matede Luna3050","San Martinde Porres","9","Avenida Matede Luna 3050, San Martinde Porres, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-117","S/N","Plazoleta","General Paz3100. PU:4","","9","General Paz 3100., San Miguel de Tucuman, Tucuman, Argentina","General Paz, Ampliación Ciudadela, Ciudadela, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8313802","-65.2299328","true","media","4.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-118","S/N","Plaza","Don Bosco3200. PU:8","","9","Don Bosco 3200., San Miguel de Tucuman, Tucuman, Argentina","Don Bosco, El Bosque, Villa Luján, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8222308","-65.225167","true","media","4.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-119","Alameda del a Victoria","Plaza","B°Ex Aeropuerto. PU:58","","9","B°Ex Aeropuerto., San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-120","Vera Autopista","Espacio Verde","PU:288 COOPERATIVAELINDIO","","9","Espacio Verde Vera Autopista, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-121","Jose Padilla","Plazoleta","Padre Roque Correa1600","Zenon Santillan","10","Padre Roque Correa 1600, San Miguel de Tucuman, Tucuman, Argentina","Padre Roque Correa, Santillán, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8027507","-65.2392957","true","media","6.25","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-122","Ntra.Sra.del Valle","Plazoleta","Italia4300","Oeste I","10","Italia 4300, Oeste I, San Miguel de Tucuman, Tucuman, Argentina","Italia, Oeste I, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","2.75","calle_o_tramo_aproximado",""
"pdf-2026-06-30-123","Salvador Alberti","Plazoleta","San Lorenzo3900,esquina Pablo Rojas Paz","Ojode Agua","10","San Lorenzo 3900,esquina Pablo Rojas Paz, Ojode Agua, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-124","Miguel Lillo","Plazoleta","Av.Alem250","Ciuda del a","10","Avenida Alem 250, San Miguel de Tucuman, Tucuman, Argentina","250, Avenida Leandro N. Alem, Ciudadela, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.831776","-65.2192724","true","alta","6.50","direccion_con_altura","OpenStreetMap Nominatim"
"pdf-2026-06-30-125","Garcia Lorca","Plazoleta","Marco Avellaneda1900y Mejico","Villa Urquiza","10","Marco Avenida ellaneda 1900 y Mejico, Villa Urquiza, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-126","Democracia","Plazoleta","Ecuador2900","Casino","10","Ecuador 2900, San Miguel de Tucuman, Tucuman, Argentina","Ecuador, Villa Urquiza, Villa 9 de julio, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","2.75","calle_o_tramo_aproximado",""
"pdf-2026-06-30-127","BBlasco Il(CGT)","Plaza","Buenos Aires4000","Blascoll","10","Buenos Aires 4000, San Miguel de Tucuman, Tucuman, Argentina","Buenos Aires, Centro, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8313145","-65.2064541","true","media","4.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-128","S/N","Plazoleta","Rene Favaloroy Buenos Aires","Lapacho Sur","10","Rene Favaloro y Buenos Aires","DR RENE FAVALORO (ESQUINA BUENOS AIRES), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.880537878","-65.22226016","true","media","12.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-129","S/N","Plazoleta","Gob.Lazaro Barbieriy 9 de Julio(dos plazas)","Lapacho Sur","10","Plazoleta S N, San Miguel de Tucuman, Tucuman, Argentina","Plazoleta 5 Torres, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-130","Ciuda del a","Plaza","Bolivar esquina Frias Silva","Ciuda del a","10","Bolivar esquina Frias Silva","BOLIVAR (ESQUINA FRIAS SILVA), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.836173811","-65.227008964","true","media","11.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-131","S/N","Plaza","Costa Ricay Jose Hernandez","SITRAVI","10","Costa Rica y Jose Hernandez","COSTA RICA (ESQUINA JOSE HERNANDEZ), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.81079443","-65.181327053","true","media","12.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-132","Leandro Alem","Plazoleta","Juan Larreay Buenos Aires","Ampliacion Villa Alem","10","Juan Larrea y Buenos Aires, Ampliacion Villa Alem, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-133","B*Blasco I(Las Rosas Sur)3","Plaza","Congres0ypje103/8SE","Blasco","10","Congres 0 y pje 103 8 SE, Blasco, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-134","Atahualpa Yupanqui","Plaza","Mejico4100","Viall","10","Mejico 4100, San Miguel de Tucuman, Tucuman, Argentina","México, Los Andes, Vial 1, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-135","Sin nombre","Rotonda","Geronimo Helgueray Av Independencia","","10","Geronimo Helguera y Avenida Independencia","GERONIMO HELGUERA (ESQUINA AV INDEPENDENCIA), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.841192552","-65.25709185","true","media","11.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-136","Sarmiento","Plazoleta","Av.Roca y Alberdi","Sur","10","Avenida Roca y Alberdi","AV JULIO ARGENTINO ROCA (ESQUINA JUAN BAUTISTA ALBERDI), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.841342198","-65.217070878","true","media","10.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-137","Barrancasdel Sali A","Plaza","Diegode Villarroely40noreste","Barrancasdel Sali","10","Diegode Villarroely 40 noreste, Barrancasdel Sali, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-138","Adolfo del a Vega","Boulevard","Adolfo del a Vega entre(desde M.de Lunahasta Roca) COOPERATIVATRABAIOPORMASFUTURO","","10","Adolfo de la Vega entre desde M.de Lunahasta Roca, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-139","Dr.Cesar Carman","Plazoleta","Catamarca,Emilio Castelar,Lisandro del a Torre","Villa Urquiza","11","Catamarca,Emilio Castelar,Lisandro de la Torre, Villa Urquiza, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-140","Coop.Guemes","Plazoleta","San Lucaseltalia","La Merced","11","San Lucaseltalia, La Merced, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-141","Sargento D.Juarez","Plazoleta","Las Piedras3400/3500","Belgrano","11","Las Piedras 3400 3500, Belgrano, San Miguel de Tucuman, Tucuman, Argentina","Las Piedras, Belgrano, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8250375","-65.2535627","true","media","3.75","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-142","Int.Gregoriode Zavaleta","Plaza","Pedro Le6n Gallo149-Pje.Agustin Maza150","Belgrano","11","Pedro Le 6 n Gallo 149 Pasaje Agustin Maza 150, Belgrano, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-143","Jesus del a Divina Misericordia","Plazoleta","Crisostomo Alvarez2950","Los Alamos","11","Crisostomo Alvarez 2950, San Miguel de Tucuman, Tucuman, Argentina","Crisóstomo Álvarez, Barrio Sur, Ciudadela, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8308227","-65.2120091","true","media","4.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-144","islas Malvinas","Plazoleta","San Lorenzo2640,esquina Pje.Republica","Floresta","11","Plazoleta islas Malvinas, San Miguel de Tucuman, Tucuman, Argentina","Plazoleta Islas Malvinas, Floresta, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8264408","-65.238016","true","alta","7.00","nombre_del_espacio","OpenStreetMap Nominatim"
