source_key,address,neighborhood
pdf-2026-06-30-001,Lavaissé y Entre Ríos,Toledo
pdf-2026-06-30-002,Bernabé Aráoz 1700 y José Malabia,Sgto Lay
pdf-2026-06-30-003,Democracia y Ayacucho,El Gráfico/Diza
pdf-2026-06-30-004,"Hernando de Magallanes 300, entre las Heras y Congreso",Villa Amalia
pdf-2026-06-30-005,Berutti y Anselmo Rojo,
pdf-2026-06-30-006,Méjico 4300 - Gregorio V. de Andrade 1900,Congreso
pdf-2026-06-30-007,Ecuador 4200,O'Connors
pdf-2026-06-30-008,Suipacha 1300,Villa Urquiza
pdf-2026-06-30-009,Juramento a la Bandera y Yamandú Rodríguez,Las Brisas
pdf-2026-06-30-010,"Américo Vespucio 1600, esquina Próspero Mena",Juan B Terán
pdf-2026-06-30-011,Pje. Vega 1065 y La Rioja,El Cruce
pdf-2026-06-30-012,Saavedra 2300,Aguas Corrientes
pdf-2026-06-30-013,Asunción 1100 y Pje. Arenales,El Bosque
pdf-2026-06-30-014,"Isabel la Católica 1800, esquina San Miguel",Gas del estado
pdf-2026-06-30-015,Santiago 3200,SITRAVI I
pdf-2026-06-30-016,Av. Mate de Luna y Av. América (hasta Pje. Del Prado),Belgrano
pdf-2026-06-30-017,Batalla de Boyaca y Adolfo Alsina. Detrás de la Coca. Son dos plazas,SMATA I
pdf-2026-06-30-018,Pje. Juan Cruz Varela entre 38/51 NO y Paso de los Andes,16 de Junio
pdf-2026-06-30-019,Rafael Obligado y Calle 63 NO,Telefónico
pdf-2026-06-30-020,Anselmo Rojo desde Belisario López hasta Rotonda de San Cayetano,
pdf-2026-06-30-021,Lidoro Quinteros y San Genaro P.U. 471,314 Viviendas
pdf-2026-06-30-022,Av. 71 Noreste,
pdf-2026-06-30-023,Desde Cuba hasta Atahualpa - P.U. 1-371-372-374-377-39-40-37-371 - Parte del P.U. 38 (sin Plaza Héroes de Malvina y P.U. 375),
pdf-2026-06-30-024,Pje. Sáenz Peña 3700,Cooperget
pdf-2026-06-30-025,"Santiago del Estero 1800, esquina Pje. Félix Frias",Don Bosco
pdf-2026-06-30-026,Ayacucho 4100 y Araujo,Blasco
pdf-2026-06-30-027,Alsina entre Moreno y Entre Ríos,Villa Alem
pdf-2026-06-30-028,"Alsina, entre Pje. Neuquén y Entre Ríos",Villa Alem
pdf-2026-06-30-029,Eugenio Méndez 400,San Cayetano
pdf-2026-06-30-030,Fortunata García y Ayacucho,Eva Perón
pdf-2026-06-30-031,Pasaje Einstein y La Rioja,Los Andes
pdf-2026-06-30-032,Sargento Cabral 2100,Echeverría
pdf-2026-06-30-033,PU: 44 y 69,
pdf-2026-06-30-034,Colombia 4600,Los Tarcos II
pdf-2026-06-30-035,Olleros y Av. Colón 2200,Sutiaga
pdf-2026-06-30-036,O'Higgins 1900 y Pje. José Benito González,Los Vásquez
pdf-2026-06-30-037,Italia entre Balcarce y 25 de Mayo,
pdf-2026-06-30-038,"Av. Belgrano, Camino del Perú, Viamonte",
pdf-2026-06-30-039,"Av. Mate de Luna, Camino del Perú, Viamonte",
pdf-2026-06-30-040,Catamarca entre Santiago e Italia,
pdf-2026-06-30-041,Av. Benjamín Aráoz entre Circunvalación y Soldati,
pdf-2026-06-30-042,Av. Gdor. Del Campo entre Circunvalación y Soldati,
pdf-2026-06-30-043,"Av. Alem y Av. Mitre, desde Plazoleta Mitre hasta Magallanes",
pdf-2026-06-30-044,Av. Sarmiento entre J.B. Justo y Lucas Córdoba,
pdf-2026-06-30-045,Av. Colectora Canal Sur - desde Independencia hasta Américo Vespucio lado este,
pdf-2026-06-30-046,Av. Independencia entre Alem y Canal Sur,
pdf-2026-06-30-047,Boulevard de Av. Independencia desde Gerónimo Helguera hasta Huemul,
pdf-2026-06-30-048,Av. Ejército del Norte/Colón desde Fco. de Aguirre hasta Américo Vespucio,
pdf-2026-06-30-049,Alfredo Guzmán - Camino del Perú entre Crisóstomo y Belgrano,
pdf-2026-06-30-050,Juan B. Justo/Avellaneda/Sáenz Peña de Fco. de Aguirre hasta Roca,
pdf-2026-06-30-051,Av. Martín Berho desde Av. Juan B. Justo hasta Coronel Suárez,
pdf-2026-06-30-052,Democracia entre Jujuy y Circunvalación,
pdf-2026-06-30-053,Av. México desde República de Líbano hasta Av. Ejército del Norte,
pdf-2026-06-30-054,Av. Papa Francisco desde Av. Benjamín Aráoz hasta Rotonda de San Cayetano,
pdf-2026-06-30-055,Av. Estado de Israel e Italia hasta Rotonda de calle Ecuador (incluida),
pdf-2026-06-30-056,Av. Santiago del Estero desde Dr. Alfredo Amenabar hasta Esteban Echeverría,
pdf-2026-06-30-057,Av. Benjamín Aráoz y Av. Papa Francisco,
pdf-2026-06-30-058,Pedro Miguel Aráoz entre Papa Francisco y Silvano Bores,
pdf-2026-06-30-059,Jujuy entre Plata y Democracia,
pdf-2026-06-30-060,Av. Coronel Suárez desde Martín Berho hasta Benjamín Aráoz,
pdf-2026-06-30-061,Av. Fco. de Aguirre desde Juan B. Justo hasta Camino del Perú,
pdf-2026-06-30-062,Brígido Terán desde 24 de Septiembre hasta Av. Roca,
pdf-2026-06-30-063,Av. Américo Vespucio desde Av. Alem hasta Canal Sur,
pdf-2026-06-30-064,José Ingenieros entre Papa Francisco y Brígido Terán,
pdf-2026-06-30-065,Pedro Miguel Aráoz entre Papa Francisco y Sáenz Peña,
pdf-2026-06-30-066,Av. Coronel Zelaya desde Canal Sur hasta Av. Manantial,
pdf-2026-06-30-067,Av. Roca desde Plazoleta Dorrego hasta Av. Alem,
pdf-2026-06-30-068,Av. Siria desde Sarmiento hasta Acceso Norte,
pdf-2026-06-30-069,Av. Colón desde América y Olleros hasta Av. Manantial,
pdf-2026-06-30-070,351-352-356-358-357-353-354-355-360-361-363-364-365-366-359,
pdf-2026-06-30-071,ACCESO NORTE P.U. 97-81-82-83-84-145-35-85-86-74-146,
pdf-2026-06-30-072,ACCESO ESTE ALDERETE P.U. 96-51-50-48-34-33-463-462-45-46-47-95-71-94,
pdf-2026-06-30-073,Av. Roca entre Ayacucho y 9 de Julio,
pdf-2026-06-30-074,Av. Circunvalación N° 277-276-278-274-279-280,
pdf-2026-06-30-075,SECTORES 36-42-65-72-73-88-89-90-91-92-369-388 / No incluye rotondas 292 y 516,
pdf-2026-06-30-076,SECTORES 368-370-498-381-382-383-384-385-386-387-379-380-378-375,
pdf-2026-06-30-077,Méjico 4300,
pdf-2026-06-30-078,Mario Bravo y 71 NE P.U. 271,130 Viviendas
pdf-2026-06-30-079,71 NE entre Coronel Suárez y Lola Mora P.U. 272,130 Viviendas
pdf-2026-06-30-080,Mario Bravo entre 73 NE y 28/23 NE P.U. 273,130 Viviendas
pdf-2026-06-30-081,Don Orione y Diagonal 90 (3 triángulos),
pdf-2026-06-30-082,C. 38 Noreste y C. Noroeste,B° Barrancas del Salí
pdf-2026-06-30-083,Canal Sur - Tramo 5 de Colón a Diagonal - Tramo 6 de Diagonal a Colón,
pdf-2026-06-30-084,Av. Poviña (Ruta provincial 301 - Camino de Sirga),
pdf-2026-06-30-085,Pje. Vieytes y Miguel Lillo 1400,Victoria
pdf-2026-06-30-086,"Juramento de la Bandera 1200, esquina Mario Bravo (son 2 en diagonal)",Parque Centenario
pdf-2026-06-30-087,"Juramento de la Bandera 1200, esquina Mario Bravo (son 2 en diagonal)",Parque Centenario
pdf-2026-06-30-088,Pje. Brasil entre Av. J.B. Justo y Maipú,
pdf-2026-06-30-089,SECCIONES 435-436-483-484,
pdf-2026-06-30-090,SECCIONES 308-309-310,
pdf-2026-06-30-091,"Av. Juan B. Justo 2350, esquina Pje. Roberto Berho",Villa 9 de Julio
pdf-2026-06-30-092,"España 2900, entre J.L. Nougués y Pje. Acha",Ampliación Jardín
pdf-2026-06-30-093,Hernando de Magallanes 2500,SEOC I
pdf-2026-06-30-094,Inca Garcilaso y Buenos Aires,Egeo
pdf-2026-06-30-095,Av. Gobernador del Campo y Circunvalación,B° Barrancas del Salí
pdf-2026-06-30-096,Av. Pedro Miguel Aráoz al 500,B° 20 de Junio
pdf-2026-06-30-097,Mendoza 4450,Alperovich
pdf-2026-06-30-098,Lídoro Quinteros 2500 esquina López Mañan. PU 482,314 Viviendas
pdf-2026-06-30-099,"Colombia 800, esquina Catamarca",Villa Urquiza
pdf-2026-06-30-100,"Alsina 300, entre Congreso y Las Heras",Villa Alem
pdf-2026-06-30-101,"Suipacha 2300, esquina Isabel la Católica",Villa Urquiza
pdf-2026-06-30-102,Méjico y Muñecas,Los Pinos II
pdf-2026-06-30-103,Diagonal Lisandro de la Torre y Ramírez de Velazco,Los Pinos
pdf-2026-06-30-104,Díaz Vélez 800 y Luis M. Drago 50,Padre Monti
pdf-2026-06-30-105,Perú 3800,Ampliación Las Américas
pdf-2026-06-30-106,México y Diag. 90 lado noreste,Congreso
pdf-2026-06-30-107,Mendoza 3300,San Martín de Porres
pdf-2026-06-30-108,Carlos María Torres entre Chacabuco y Bs. Aires 4400,Independencia
pdf-2026-06-30-109,Av. Juan B. Justo 1000,Villa 9 de Julio
pdf-2026-06-30-110,Alsina 4600,San Martín
pdf-2026-06-30-111,José M. Estrada 4300,Congreso
pdf-2026-06-30-112,Diego de Villarroel y José Hernández,Obispo Piedrabuena
pdf-2026-06-30-113,Estados Unidos 1500 y Calle Costanera Norte,B° Costanera (2 de Abril)
pdf-2026-06-30-114,España 2700 y Azcuénaga,Jardín
pdf-2026-06-30-115,Viamonte 950 - España y Av. Estado de Israel,Ampliación Jardín
pdf-2026-06-30-116,Av. Mate de Luna 3050,San Martín de Porres
pdf-2026-06-30-117,General Paz 3100. PU: 4,
pdf-2026-06-30-118,Don Bosco 3200. PU: 8,
pdf-2026-06-30-119,B° Ex Aeropuerto. PU: 58,
pdf-2026-06-30-120,PU: 288,
pdf-2026-06-30-121,Padre Roque Correa 1600,Zenón Santillán
pdf-2026-06-30-122,Italia 4300,Oeste I
pdf-2026-06-30-123,"San Lorenzo 3900, esquina Pablo Rojas Paz",Ojo de Agua
pdf-2026-06-30-124,Av. Alem 250,Ciudadela
pdf-2026-06-30-125,Marco Avellaneda 1900 y Méjico,Villa Urquiza
pdf-2026-06-30-126,Ecuador 2900,Casino
pdf-2026-06-30-127,Buenos Aires 4000,Blasco II
pdf-2026-06-30-128,René Favaloro y Buenos Aires,Lapacho Sur
pdf-2026-06-30-129,Gob. Lázaro Barbieri y 9 de Julio (dos plazas),Lapacho Sur
pdf-2026-06-30-130,Bolívar esquina Frías Silva,Ciudadela
pdf-2026-06-30-131,Costa Rica y José Hernández,SITRAVI
pdf-2026-06-30-132,Juan Larrea y Buenos Aires,Ampliación Villa Alem
pdf-2026-06-30-133,Congreso y Pje. 103/8 SE,Blasco
pdf-2026-06-30-134,Méjico 4100,Vial I
pdf-2026-06-30-135,Gerónimo Helguera y Av. Independencia,
pdf-2026-06-30-136,Av. Roca y Alberdi,Sur
pdf-2026-06-30-137,Diego de Villarroel y 40 Noreste,Barrancas del Salí
pdf-2026-06-30-138,Adolfo de la Vega (desde M. de Luna hasta Roca),
pdf-2026-06-30-139,"Catamarca, Emilio Castelar, Lisandro de la Torre",Villa Urquiza
pdf-2026-06-30-140,San Lucas e Italia,La Merced
pdf-2026-06-30-141,Las Piedras 3400/3500,Belgrano
pdf-2026-06-30-142,Pedro León Gallo 149 - Pje. Agustín Maza 150,Belgrano
pdf-2026-06-30-143,Crisóstomo Álvarez 2950,Los Álamos
pdf-2026-06-30-144,"San Lorenzo 2640, esquina Pje. República",Floresta
pdf-2026-06-30-145,"Gral. Lavalle 1800, esquina Frías Silva",Ciudadela
pdf-2026-06-30-146,"Barrio Pte. Perón. PU: 440 Calle 80/19, desde La Plata hasta Av. Independencia",
pdf-2026-06-30-147,Barrio Pte. Perón. PU: 438 Calle 80/19 SO entre La Plata y Calle Sin Nombre,
pdf-2026-06-30-148,Italia 3200 y Bulnes,B° Modelo
pdf-2026-06-30-149,Diego de Villarroel 1700,AGEFT
pdf-2026-06-30-150,Benjamín Aráoz 1200,San Miguel
pdf-2026-06-30-151,Av. Roca y Sáenz Peña,Ex Aeropuerto
pdf-2026-06-30-152,"Manuel Alberti 2300, entre Ramírez de Velazco y Pje. Chazarreta",
pdf-2026-06-30-153,Av. Silvano Bores 300 y Santa Cruz,Sarmiento
pdf-2026-06-30-154,Av. Belgrano 2900,Ampliación Jardín
pdf-2026-06-30-155,Av. Belgrano 1400,Plazoleta Mitre
pdf-2026-06-30-156,"Ernesto Padilla 340, esquina Pje. Ernesto Colombres",Floresta
pdf-2026-06-30-157,Av. Kirchner 1500,Ciudadela
pdf-2026-06-30-158,Amado Nervo 1800 - Pje. Juan Heller 1800,Judicial I
pdf-2026-06-30-159,Chacabuco 1900,
pdf-2026-06-30-160,Av. Sáenz Peña y 24 de Septiembre / Benjamín Aráoz,El Bajo (Terminal Vieja)
pdf-2026-06-30-161,Av. Papa Francisco y Antonio Berutti,
pdf-2026-06-30-162,Av. América desde Santa Fe hasta Diagonal 90. PU: 520 al 538,
pdf-2026-06-30-163,Costado oeste de Aut. Circunvalación PU 376,
pdf-2026-06-30-164,Colombia 3100,Ampliación Kennedy
pdf-2026-06-30-165,Mendoza 3800 y Esquiú,Aconquija
pdf-2026-06-30-166,"Vicente Gallo 1400, esquina Pje. Acevedo",Los Plátanos
pdf-2026-06-30-167,PU 460,B° Fede Villa
pdf-2026-06-30-168,Thames y Lucio Mansilla 250,Ferroviario
pdf-2026-06-30-169,PU 282-283,Autopista
pdf-2026-06-30-170,Juan Padrós y Huemul,240 Viviendas
pdf-2026-06-30-171,Benigno Vallejo entre Virla y Gorriti hasta Juan Padrós (2 espacios/cuadras),Vial III
pdf-2026-06-30-172,"Pedro L. Gallo entre Juan Padrós y López Mañan (es un L, sin la escuela)",Fe de Villa
pdf-2026-06-30-173,Av. Roca y Primera Junta,Villa Alem
pdf-2026-06-30-174,"Diego de Rojas 147, alt. San Lorenzo 3200",Los Álamos
pdf-2026-06-30-175,Ignacio Gorriti y Pedro Berreta,76 Viviendas
pdf-2026-06-30-176,López Pondal y Benigno Vallejos,Elena White
pdf-2026-06-30-177,Av. 71 NE - Pje. 71/20 NE - Pje. 22/71 NE P.U. 270,130 Viviendas
pdf-2026-06-30-178,Rafael Obligado y 71/20 NE P.U. 269,130 Viviendas
pdf-2026-06-30-179,Venezuela 200. PU: 412,
pdf-2026-06-30-180,Mendoza 2650,Villa Luján
pdf-2026-06-30-181,Pueyrredón 1000 y Alsina,24 de Septiembre
pdf-2026-06-30-182,Florida 2600 y Constitución,Card. Samore
pdf-2026-06-30-183,Av. Américo Vespucio y Av. Colón 1900,SEOC I
pdf-2026-06-30-184,Platabanda Av. América y Diagonal 90 hasta Rapelli,B° FEPUT
pdf-2026-06-30-185,Isabel la Católica 600 (entre Maipú y Muñecas),Los Pinos II
pdf-2026-06-30-186,"Costado del B° Mutual Policial paralelo al Canal Sur. PU: 323, 325, 328",
pdf-2026-06-30-187,Av. Papa Fco. entre José Ingeniero y P. Miguel Aráoz - del centro al sur - P.U. 393,
pdf-2026-06-30-188,"José Manuel Estrada 3800, esquina Fray M. Esquiú",Cooperget II
pdf-2026-06-30-189,José Frías Araujo y Guido L. García (altura España 4300),Ampliación Padilla
pdf-2026-06-30-190,Castro Barros entre Ecuador y Paraguay,Kennedy
pdf-2026-06-30-191,"Av. Ejército del Norte, entre Paraguay y Ecuador",
pdf-2026-06-30-192,"Av. Ejército del Norte, entre Colombia y Venezuela",
pdf-2026-06-30-193,Thames entre Paraguay y Ecuador,
pdf-2026-06-30-194,Thames y Paraguay,
pdf-2026-06-30-195,"B° Mutual Provincial. PU: 480, 481",
pdf-2026-06-30-196,"FFCC, desde San Juan hasta Av. Sarmiento, paralelo a Marco Avellaneda. PU: 315 al 318",
pdf-2026-06-30-197,Av. Papa Fco. entre José Ingeniero y P. Miguel Aráoz - del centro al norte - P.U. 393,
pdf-2026-06-30-198,Av. Belgrano 4250,Parque
pdf-2026-06-30-199,"Bernabé Aráoz 4000, esquina René Favaloro",Parque Sur
pdf-2026-06-30-200,Federico Helguera 1900 - Méjico 3200,Ampliación Kennedy
pdf-2026-06-30-201,Frías Silva y Mercedes de San Martín - P.U. 259,B° Policial IV
pdf-2026-06-30-202,Alfredo Palacios entre Av. Gobernador del Campo y Av. Martín Berho PU: 314,B° COPIAT
pdf-2026-06-30-203,Diagonal Padre Monti y calle Luis M. Drago - PU: 161,B° Padre Monti
pdf-2026-06-30-204,"Inca Garcilaso de la Vega, Pje. Alfredo Nobel y Sara Carreras",
pdf-2026-06-30-205,Colombia 4500 y E. Echeverría,Farmacéutico
pdf-2026-06-30-206,Diagonal 90 entre Méjico y Pje. Tagle,
pdf-2026-06-30-207,"Isabel la Católica 1600, esquina Lucas Córdoba",Los Andes
pdf-2026-06-30-208,Ernesto Padilla y Crisóstomo Álvarez,
pdf-2026-06-30-209,Av. Kirchner entre Av. Alem y Av. Adolfo de la Vega. Incluye platabanda angosta,
pdf-2026-06-30-210,Manuel Estrada 4000,Congreso
pdf-2026-06-30-211,P.U. 284 - Km,
pdf-2026-06-30-212,Amador Lucero/Thames entre Lavalle y San Martín,
pdf-2026-06-30-213,Tramo 1 de Roca a Independencia / Tramo 2 de Independencia a Ruta 301 / Tramo 3 de Independencia a Colón / Tramo 4 de Colón a Independencia,
pdf-2026-06-30-214,Chile 3300,Modelo
pdf-2026-06-30-215,"San Juan 4700, esquina Martín Rodríguez",Alperovich
pdf-2026-06-30-216,Diego de Rojas y Domingo Matheu 3100,Independencia II
pdf-2026-06-30-217,Pueyrredón 2000 y Baunañy,SEOC 200 Viviendas
pdf-2026-06-30-218,Francia 1350 y Mario Bravo,El Parque
